solver,Qin,iterations,time,residual_norm
bcg,8.065326633,22,0.00461,1.36E-14
bicgstab,8.065326633,28,0.0009097,1.58E-14
direct,8.16080402,0,8.49E-05,5.78E-15
gmres,8.16080402,100,0.0655,6.43E-14
bcg,8.16080402,22,0.0042813,7.68E-15
bicgstab,8.16080402,27,0.0007267,1.01E-14
direct,8.256281407,0,6.55E-05,5.34E-15
gmres,8.256281407,100,0.0680636,2.11E-13
bcg,8.256281407,22,0.0040245,1.14E-14
bicgstab,8.256281407,27,0.0007231,2.54E-14
direct,8.351758794,0,6.97E-05,8.35E-15
gmres,8.351758794,100,0.0779592,1.68E-13
bcg,8.351758794,22,0.0040484,3.69E-14
bicgstab,8.351758794,27,0.0007142,9.95E-15
direct,8.447236181,0,9.03E-05,3.82E-15
gmres,8.447236181,100,0.072099,1.20E-13
bcg,8.447236181,22,0.0047455,9.64E-15
bicgstab,8.447236181,27,0.0007188,7.80E-15
direct,8.542713568,0,8.93E-05,5.55E-15
gmres,8.542713568,100,0.0881318,2.28E-13
bcg,8.542713568,22,0.0046177,5.96E-15
bicgstab,8.542713568,27,0.0008084,1.12E-14
direct,8.638190955,0,9.59E-05,7.96E-15
gmres,8.638190955,100,0.0640262,2.26E-13
bcg,8.638190955,22,0.0042525,6.74E-15
bicgstab,8.638190955,27,0.0008331,1.06E-14
direct,8.733668342,0,8.76E-05,4.80E-15
gmres,8.733668342,100,0.1035082,1.75E-13
bcg,8.733668342,22,0.0084004,1.35E-14
bicgstab,8.733668342,27,0.0014063,2.23E-14
direct,8.829145729,0,0.0001482,9.01E-15
gmres,8.829145729,100,0.0816849,1.56E-13
bcg,8.829145729,22,0.0040225,1.96E-14
bicgstab,8.829145729,27,0.0007159,3.07E-14
direct,8.924623116,0,6.54E-05,7.98E-15
gmres,8.924623116,100,0.0591294,2.29E-13
bcg,8.924623116,22,0.0040561,2.64E-14
bicgstab,8.924623116,27,0.0007095,2.49E-14
direct,9.020100503,0,8.98E-05,3.08E-15
gmres,9.020100503,100,0.0641308,9.89E-14
bcg,9.020100503,22,0.0048236,1.09E-14
bicgstab,9.020100503,27,0.0007746,2.72E-14
direct,9.115577889,0,0.0001075,6.41E-15
gmres,9.115577889,100,0.0663056,1.87E-13
bcg,9.115577889,22,0.0049067,5.04E-15
bicgstab,9.115577889,27,0.0007245,1.44E-14
direct,9.211055276,0,8.92E-05,3.74E-15
gmres,9.211055276,100,0.0732585,9.74E-14
bcg,9.211055276,22,0.0049146,1.13E-14
bicgstab,9.211055276,27,0.0007709,3.83E-14
direct,9.306532663,0,9.05E-05,1.12E-14
gmres,9.306532663,100,0.0817444,1.35E-13
bcg,9.306532663,22,0.004025,7.58E-15
bicgstab,9.306532663,27,0.0007231,9.58E-15
direct,9.40201005,0,7.68E-05,5.28E-15
gmres,9.40201005,100,0.0738202,1.25E-13
bcg,9.40201005,22,0.0046278,2.80E-14
bicgstab,9.40201005,27,0.0008796,8.72E-15
direct,9.497487437,0,9.49E-05,1.64E-14
gmres,9.497487437,100,0.0766488,1.58E-13
bcg,9.497487437,22,0.0055877,7.30E-15
bicgstab,9.497487437,27,0.0011637,3.41E-14
direct,9.592964824,0,0.0001002,5.01E-15
gmres,9.592964824,100,0.0642389,2.30E-13
bcg,9.592964824,22,0.0041582,1.24E-14
bicgstab,9.592964824,27,0.0007177,1.53E-14
direct,9.688442211,0,0.0001055,7.19E-15
gmres,9.688442211,100,0.0571737,1.72E-13
bcg,9.688442211,22,0.0040051,3.44E-14
bicgstab,9.688442211,27,0.0007246,1.34E-14
direct,9.783919598,0,9.02E-05,1.42E-14
gmres,9.783919598,100,0.0594114,9.13E-14
bcg,9.783919598,22,0.0040308,1.33E-14
bicgstab,9.783919598,27,0.0007111,1.73E-14
direct,9.879396985,0,6.11E-05,9.21E-15
gmres,9.879396985,100,0.0698413,1.51E-13
bcg,9.879396985,22,0.004407,7.03E-15
bicgstab,9.879396985,27,0.000711,7.89E-15
direct,9.974874372,0,7.79E-05,7.60E-15
gmres,9.974874372,100,0.0639989,1.42E-13
bcg,9.974874372,22,0.0040928,7.77E-15
bicgstab,9.974874372,27,0.0007142,9.31E-15
direct,10.07035176,0,8.46E-05,8.59E-15
gmres,10.07035176,100,0.0612401,1.19E-13
bcg,10.07035176,22,0.0040378,2.76E-14
bicgstab,10.07035176,27,0.0007111,1.12E-14
direct,10.16582915,0,7.60E-05,5.24E-15
gmres,10.16582915,100,0.0817482,1.25E-13
bcg,10.16582915,22,0.0044215,1.97E-14
bicgstab,10.16582915,27,0.001049,2.65E-14
direct,10.26130653,0,0.0001131,6.22E-15
gmres,10.26130653,100,0.0591399,2.42E-13
bcg,10.26130653,22,0.0040543,1.53E-14
